URL: http://animexx.onlinewelten.com/datenbank-zuviel.phtml?them_id=1

Du siehst zuviel Sailor Moon, wenn...

... 	dein Papagei plötzlich beginnt, "Chibi Chibi" zu rufen. 	 Onkel_Montork
... 	du(falls du wie ein junge aussiehst ob wohl du weiblich bist)auf die frage :bist du ein junge oder ein mädchen !?,antwortest :junge oder mädchen .ist das wirklich wichtig?)ah....übrigens kann mir jemand sagen wo ich den SS super special finde ...??den mit haruka & michiru???'ich suche seit monaten danach 	
... 	du dich in michiru verliebt hast!(auch wenn du ein mädchen bist) 	
... 	du jeden verhaust der haruka & michiru beleidigt und sich darüber lustigmacht das die lesbisch sind! 	
... 	du findest dass haruka & michiru so ein süsses paar abgeben aber irgendwie eifersüchtig auf sie bist weil du selber so sein willst!!!! 	
... 	immer anfängst zu heulen wenn du folge 110 schaust und das nur weil h&m darin vorkommen !!! ich hab die jetzt sicher schon mehr als 24 mal gesehen!!!!!!!!!! 	
... 	du andauernd für einen jungen gehalten wirst und dich darüber nicht ärgerst weil haruka ja auch oft verwechselt wird!!!!!! 	
... 	du süchtig nach haruka & michiru folgen bist!!!!! 	
... 	du ein mädchen bist ,du zufälligerweise wie ein junge aussiehst und dich in ein mädchen verliebst das wie michiru aussieht(was man???ich kann nichts dafür)ps ich sehe wirklich wie haruka aus!!!![fReuz¨¨¨¨¨¨! 	
... 	jemand unerlaubterweise das Badezimmer betritt während du in der Wanne sitzt und du den Besucher mit Badekugeln bewirfst und schreist "Badekugeeeeeeln für die Gerechtigkeit, fliegt und siegt!!!!" 	
... 	du 3 Stunden lang über nen Flohmarkt streunst, nur um eine alte Sailormoon Sountrack Kassette zu ergattern! Gott hab ich mich gefreut :D 	
... 	du in der Schule deinen Sitznachbarn mit der leeren Wasserflasche verprügelst und dabei schreist: "Macht des Mondes, vernichte ihn!" 	abgemeldet
... 	du dich sträubst in den Zirkus zu gehen (weil das ja der dead moon circus sein könnte...) 	 ShoKaKola
... 	du glaubst, früher als prinzessin auf dem mond gelebt zu haben, und deshalb immer den mond anbetest bzw für heilig haltest, und du immer den kopf schütteln könntest sobald jemand sagt, dass es kein leben auf den mond gibt^^ 	 _Taisto_Perkele_
... 	du genau die gleichen eigenschaften wie usagi, und eine schwarze katze die luna heißt, hast (also ich kenne niemanden^^ *hust*) 	 _Taisto_Perkele_
... 	dir jemand sagt an deiner schule wäre jetzt ein mädchen das aussieht wie ein junge und du schreist "WAS HARUKA IST HIER?!" dann rennst du los und suchst nach ihr (wer? ich doch nicht *hust*) 	 ShoKaKola
... 	du dir ein Sony Ericsson "Aino" kaufst in der Annahme, Minako habe es entworfen. 	abgemeldet
... 	du irgendwo auf eine Salomonstraße stößt und du Sailormoonstraße liest. 	MasatoYamori
... 	du deine freunde schon mit den sailor senshi vergleichst ( 	 ShoKaKola
... 	du sogar deine fasermaler den sailor sehshi zuordnen kannst!!! ("hey lass die finger von sailor neptun damit will ICH meine Überbschrift schreiben!!!" DAS war peinlich ^-^° wir sitzen direkt vorm lehrertisch und ich war zu laut) 	 ShoKaKola
... 	du mit allen über sailor moon reden willt, auch wenn dein gegenüber dir schon gesagt hat, dass er/sie alles was mit anime oder manga zu tun hat verabscheut 	 ShoKaKola
... 	du dich lautstark wehrst, wenn dein physiklehrer meint, dass man nicht auf dem mond leben kann (war ganz lustig, wir haben mit der diskussion ne halbe stunde rumbekommen *hust*) 	 ShoKaKola
... 	dich jemand fragt, ob du auf SM stehst, lächelnd antwortest: "Klar steh ich auf Sailor Moon!" 	 Drachenengel
... 	du eine zeitlang nur mit 2 zöpfen durch die gegend rennst,weil du so aussehen willst wie usagi *drop* 	abgemeldet
... 	du jeses mal wenn du an einer ecke vorbei kommst denkst das Seiya dich jetzt endlich anrempeln würde und dich dann "Schätzchen" nennt *dahinschmelz* 	 Alec-chan
... 	du jeder Schwarzen katze hinterher rennst, weil du sie für Luna hälst 	 I_Love_Seto_and_Neji
... 	du dich so nah vor den Ventilator legst, dass du 'ne Bindehautentzündung bekommst, weil du denkst, dass du den "Wind" so besser verstehst. 	 Sesshi-Chan
... 	du bei dem Lied "She's like the wind" immer an Haruka denken musst. 	 Sesshi-Chan
... 	du "Last Friends" nur anfängst zu schauen, weil die Hauptdarsteller Ruka und Michiru heißen (und du am Ende heulst, weil sie nicht wirklich zusammen kommen)! 	 Milli
... 	du immer, wenn du die ganzen 200 Folgen angeschaut hast, hoffst das Seiya doch noch mit Bunny zusammen kommen wird (die beiden passen viel besser zusammen! ^-^ ) 	 JoMarch
... 	du extra eine schlechte Note schreibst, nur um die vergeigte Arbeit dann in der Fußgängerzone einem gutaussehenden Mann an den Kopf zu werfen, in der Hoffnung, es könnte dien persönlicher Mamoru sein und du mit ihm so einen Streit anfangen könntest. 	 00Lucia00
... 	du dir von deiner Oma ein Kostüm nähen lässt, welches aussieht wie die Schuluniform von Bunny und Co. und nach 9 Jahren denkst "GEIL!" 	abgemeldet
... 	du noch vielen Jahren wieder an Sailer Moon erinnert wirst, dir vornimmst dir alle Folgen reinzuzien und schon wieder alle Intros auswendig kannst! 	abgemeldet
... 	du durch die wohnung hüpfst und singst: Es fliegt ne Si-Sa-Sailor Moon in unsrem Haus herum fidibum (nein ich doch nciht) 	 Badass
... 	du deine erste Band "Three Lights" nennst. 	abgemeldet
... 	du denkst Mondpudding gibt es wirklich (Mmmmmhhhh.... das war aber ein leckerer Mondpudding.)!! 	abgemeldet
... 	du denkst hinter deiner Katze verbirgt sich Artemis,Luna oder Diana. 	abgemeldet
... 	du süchtig nach den Sailor Moon Musicaln bist und du überzeugt bist in Japan Haruka getroffen zu haben, weil du der Ansicht bist, dass Nao Takagi die einzige und wahrhaftige Sailor Uranus ist! 	 Rei_Yorubara
... 	nach 8 Jahren wieder total auf sailor Moon stehst, dich ärgerst das deine schöne SM sammlung futsch ist und gar nicht einsiehst das du irgendwann mal zu alt dafür bist 	 Rei_Yorubara
... 	du den Tanz zu La Soldier tanzen kannst und du dich beim SeraMyu gucken aufregst wenn die senshi falsch tanzen 	 Rei_Yorubara
... 	du dir deinen Staubsauger unter den Arm klemmst und beim Staubsaugen lauthals "Sailor Busters" singst. 	 Jenna
... 	du an einem Ortschild "Anzing" vorbei fährst und sofort an "Anza-Moon" denken musst. 	 Jenna
... 	du in einem Orchester die Violinistinnen mit Zitronen bewirfst. 	 Dark_Alexiel
... 	du immer wieder erfolglos versuchst deinen Kopf in einen Spiegel zu stecken bis du merkst, dass das irgendwie keinen Sinn hat. 	 Dark_Alexiel
... 	du findest, dass Mamoru der Entdecker des Marmor ist. 	 Dark_Alexiel
... 	du siehst, wie sich zwei auf der Straße verprügeln, und du versuchst sie mit dem Spruch: "Mächte aller Zeiten, lass die Liebe sich verbreiten", besänftigen willst. 	 Dark_Alexiel
... 	du ne 6 in der Mathearbeit schreibst und schreist: "VERLOOOOOOOOOREEEEN" 	 Dark_Alexiel
... 	du vor dem Kindergarten stehst und versuchst die Kinder die Mittagsschläfchen machen vergeblich mit einer Flöte aus dem Haus zu locken.. 	 Dark_Alexiel
... 	du einen Lachanfall bekommst wenn du in einem Regal der Hygieneabteilung "Rei in der Tube" siehst. 	 Dark_Alexiel
... 	du denkst Serengeti ist die böse Schwester von Serenity 	 Dark_Alexiel
... 	du deinen nervigen Klassenkameraden mit Mars-Schokoriegeln bewirfst und apathisch "Mars Flame Sniper" brüllst. 	 Dark_Alexiel
... 	beim betreten eines Saturns Angst hast er stürzt über dir zusammen, weil er gerade einen "Schwäche-Anfall" hat. 	 Dark_Alexiel
... 	du nur noch SeraMyu Musicals guckst und dir schon die Fingerkuppen vom Schnippen wehtun, weil du zu viel "Chou Bi" hörst. *Finger reib* XDD 	 Jenna
... 	dir deine Mama einen Schokokuchen backt und du dich mit "Arigatou Makoto-San" bei ihr bedankst. 	 Dark_Alexiel
... 	du ohne es zu merken in der Fernsehzeitung "Saturday Night Fever" durch "Kaori Night Fever" ersetzt. 	 Dark_Alexiel
... 	du mit der Deutschen Bahn fährst und den Fahrkartenkontolleur fragst, ob es denn ein Fahrkarten-Abo für den Sailor Teletransport gibt. 	 Dark_Alexiel
... 	du nach 10 Jahren zufälliger die CD mit den deutschen Songs findest (zb. "Kraft der Ewigkeit") und dich darüber dumm und dämlich freust, und sogar noch jedes einzelne Lied auswendig kannst! 	abgemeldet
... 	du alle Sailor Krieger vor dir siehst und mit ihnen zusammen tanzt (naja..ne zeit hab ich das auch gemacht..war lustig..) 	abgemeldet
... 	du immernoch daran glaubst das Pluto ein Planet iost 	 AkariChan
... 	du bei H&M einkaufst weil du denkst H&M steht für Haruka&Michiru 	 AkariChan
... 	du versuchst alle Bilder aus dem Inernet zu holen und dein Computer abstürzt, da er überlasstet worden ist. 	abgemeldet
... 	du versuchst deinem weißem Pferd ein goldenes Horn aufzusetzen und dich wunderst, waurm es nicht in deinen Träumen erscheint und mit dir redet..... 	abgemeldet
... 	du immer wieder gesagt bekommst 'bist du nicht zu alt dafür' 	abgemeldet
... 	du von deienr Familie und von deinen Freunden für verrückt gehalten wirst, weil Sailor Moon dir spaß macht 	abgemeldet
... 	du dich du dich nicht mehr auf anstehende Klausuren konzentrieren kannst und nur an Mamoru und Bunny denkst 	abgemeldet
... 	du nachts bis 5 vor deinem PC sitzt und Dinge machst, die mit Sailor Moon zu tun haben 	abgemeldet
... 	du bei jeder sich bietenden Gelegenheit "Weiche von mir böser Geist!" sagst und dazu nur noch die Bannzettel fehlen... 	 waffelcrepe
... 	du statt ein Mann eine Frau auf den Mond siehst. 	 Usagi0786
... 	du denkst, dein Hase wäre eine verwandelte Usagi. 	 Usagi0786
... 	du denkst um die nächste Ecke kommt Mamoru und rämpelt sich um. 	 Usagi0786
... 	du denkst H&M steht fuer "Haruka & Michiru". 	abgemeldet
... 	du dann nachts um 2 noch aufstehst, extra ein Heft dafuer anlegst und diese Dinge aufschreibst. 	abgemeldet
... 	dir diese Sachen alle nachts um 2 einfallen. 	abgemeldet
... 	du mit deiner Freundin, die keine Ahnung ueber Sailor Moon hat, lautstark in der U-Bahn ueber die Verwandlungen diskutierst und dich ploetzlich ein begeisterter Cosplayer anspricht, der euch belauscht hat. 	abgemeldet
... 	du Sailor Moon Bilder am iPod hast. 	abgemeldet
... 	du Sailor Moon Lieder am iPod hast. 	abgemeldet
... 	du Sailor Moon als Aufklaerung siehst, weil die Kriegerinnen manchmal nackt kaempfen (Lustig, dass mir das mehrere Jungs erzaehlt haben oO) 	abgemeldet
... 	du denkst Britney Spears haette mit "Everytime I try to fly, I fall..." auf Sailor Moon angespielt. Sie kann eben auch nicht fliegen. 	abgemeldet
... 	du eigentlich schlafen willst und du trotzdem durchgehend an Sailor Moon denkst. 	abgemeldet
... 	deine verkuppelten Katzen Babies machen, die wie Diana aussehen & du sie alle - ob maennlich oder weiblich - auch so nennst. 	abgemeldet
... 	du eine schwarze mit einer weißen Katze verkuppelst. 	abgemeldet
... 	du schon den Traenen nah bist, weil du das "Tuxedo Mask + Sailor Moon" Poster Spezialheft nicht hast und du am naechsten Tag vor Freude schreist, wenn du es findest. 	abgemeldet
... 	du mit 7 alle Hefte gesammelt hast & sie nach 10 Jahren wieder 'raus kramst und dich freust "frueher" ja so ein Freak gewesen zu sein. 	abgemeldet
... 	du mindestens 10 Sailor Moon Nicks in einem Chat belegst. 	abgemeldet
... 	du zu anderen sagst "Ihr seid ja irre!" und sie mit "Aber du schaust Sailor Moon!" antworten. 	abgemeldet
... 	du dich im schlaf umdrehst und dabei leise sagst: "Mamoru!" 	abgemeldet
... 	du die Augen schließt und denkst, dass der Silberkristall vor deiner Brust erscheint, wenn du dich nur genug konzentrierst 	abgemeldet
... 	du eine Brosche nimmst und zwangshaft versuchst, dich in Sailor Moon zu verwandeln. 	abgemeldet
... 	deine Muter beim Kochen sagt: "Gibts du mir noch etwas Kandisin Zucker?", und du sie dann komplett verwirrt anstarrst: "Kermesin(Kermesite)?!" 	abgemeldet
... 	du den Mondpalast in Herne besuchst und danach enttäuscht bist dass man dort keine Artefakte des Silberjahrtausend zu sehen bekommt 	abgemeldet
... 	du extra in den star light express gehst und dann am boden zerstört bist bloß weil seiya yaten und taiki nicht da waren!!!!!!!!!!!!!! 	 extramagenfuerbanane
... 	... du bei neuen Mitschülern immer skeptisch bist, vor allem wenn du erfährst dass der Bruder/die Schwester auch auf diese Schule gehen ^^ 	 Armaterasu
... 	... du dir 100 rote Rosen kaufst und du dich wunderst, warum sie nicht im Boden stecken bleiben 	 Armaterasu
... 	... du jedesmal wenn du angesprochen wirst, dass es Nezu (Sailor Oron Mouse) ist 	 Armaterasu
... 	.. du bis halb Fünf Morgens RPG gespielt hast, auf diese Liste stößt und nach der Lektüre denkst: himmel habe ich nich grade GENAU das gespeilt?? ( is wirklich so... :) ) 	abgemeldet
... 	du stundenlang darüber streiten könntest warum seiya viel besser mit usagi zusammen passt als mamoru, du am liebsten aber seiya für dich haben willst*sabber,hechel,lechz* 	abgemeldet
... 	du im Unterricht ff schreibst, anstatt aufzupassen ( wer braucht schon Bildung, Bunny war auch ne Niete inder Schule und ist dann Königin geworden!!! *gg*) 	 lazyBabe
... 	du in Yume bist. 	abgemeldet
... 	du nach Japan fliegst und nach Usagi und Co. suchst 	 Bella-hime
... 	du den ganzen Tag mit Sailor Moon Klamotten rum läufst 	 Bella-hime
... 	du deine Haare bis zum Knöchel wachsen lässt, weil du aussehen willst wie Bunny 	abgemeldet
... 	du ein total verqueres weltbild hast und denkst auf dem mond existiert ein königreich 	abgemeldet
... 	du beim Weihnachtsgottesdienst in der Kirche einen Grinskrampf kriegst, weil der Pfarrer sagt: Jesus kämpfte für Liebe und Gerechtigkeit. (Kein Witz!) 	abgemeldet
... 	jeder dich für einen Jungen hält obwohl du ein Mädchen bist (Das war noch früher, jetzt hab ich wieder schöne schulterlange Haare) 	 Sternennacht
... 	du dir ein weißes Kleid anziehst und sagst dass du ab denn Moment Serenity heißt. (Nicht ich aber meine Schwester. :-D) 	 Sternennacht
... 	du deine Freundinnen dazu überredest, mit dir Sailor Moon während den Hofpausen zu spielen und es dann sogar in der Abschlusszeitung steht 	 YukiTenshin
... 	du in der Schule nur Astronomie gewählt hast , um den Teleporter zu den Planeten zu lernen 	 YukiTenshin
... 	du deine Biokursarbeit versaust, weil du statt zu lernen Sailor Moon guckst, zeichnest und FFs schreibst (was? Ich? Neeee...hab die arbeit noch nich raus hoffentlich is es noch ne 4 -.-''') 	abgemeldet
... 	du anfängst darüber nach zu denken, dass alles life zu verfilmen. 	abgemeldet
... 	du dauernd im Smoking herumläufst und mit Rosen um dich wirfst. 	abgemeldet
... 	-du dir einen handspiegel krallst,einen dreizack draufmalst und hofst du würdest dich in sailor neptun verwandeln >< 	abgemeldet
... 	du zu der Klassenstreberin sagst: "So klug wie Amy bist du ja doch nicht!" 	abgemeldet
... 	die "Grippe-welle" über Deutschland ausbricht, dich erwischt und du die ganze medizin deiner mum ablehnst in der hoffnung Sailor Venus kommt um dich zu Heilen! 	 Gamilia
... 	du schon keine Freunde mehr hast weil ihnen von deinem ständigen Klugscheissergelaber und deinen ständigen vergleichen zu Personen und Sailor Kriegern schon die Ohren bluten. ^^ 	abgemeldet
... 	du und deine ebenso japan-verrückte freundin eine WWSMZ (wir wollen Sailor Moon zurück) kampange startest und dann doch nix daraus wird sich bei rtl2 zu beschweren....*...* 	abgemeldet
... 	du im Unterricht Hotaru abzeichnest und deine alte lehrerin sagt: "oh, Sailor Moon!?" 	abgemeldet
... 	du jedesmal auf die frage "wa gibts es zu essen?" mit "pizza auf bestellung" antwortest (und alle um dich herum lachen sich krank die DIESE folge kennen) 	 Shiru-sama
... 	du den Mond siehst du sagst :"Mondstein flieg und sieg" 	abgemeldet
... 	du beim Basketballspielen ständig "Luna-P, verwandle dich" rufst. 	abgemeldet
... 	du in Tierbüchern nach einem "Chanella" suchst ^^ 	 Otogi
... 	du auf der ganzen Welt nach dem Zeitreiseschlüssel suchst. 	 Otogi
... 	du dir einbildest, du hättest schonmal die Welt gerettet, aber es nur vergessen hast und deine Katze dafür verdächtigst 	 Otogi
... 	du in jedem Schmuckgeschäft angst hast, man könnte dir die Energie aussaugen. 	 Otogi
... 	du glaubst,in die Träume anderer menschen schauen zu können 	 GlaringDream
... 	du in jedem schwarzhaarigen Typen Mamoru Chiba siehst^^ 	 GlaringDream
... 	du in einem Schreibwarengeschäft nach ,,Zauberfüllern'' fragst 	 GlaringDream
... 	du dich vor jeder Blume in Acht nimmst,aus Angst es könnte Xenian sein ^^ 	 GlaringDream
... 	du dich mit 4 Freundinnen auf die Suche nach der Mondprinzessin machst 	 GlaringDream
... 	du dein Pferd Pegasus nennst und versuchst mit ihm durch die Luft zu fliegen 	 GlaringDream
... 	du krampfhaft versuchst,dir die gleiche Reisbällchenfrisur zu machen,wie Sailor Moon 	 GlaringDream
... 	du einen Stein nimmst, ihn wie eine Brosche anmalst und versuchst dich mithilfe von ihm zu verwandeln..hmpf >< hätte fast geklappt =O 	abgemeldet
... 	du jede schwarze Katze für Luna hälst und versuchst deiner Freundin weis zu machen Luna hätte dich aufgesucht(warum wollt sie's nich glauben??._.) 	abgemeldet
... 	Du glaubst das es Alle Sailor krieger gibt! und denkst das es Starlights und so wirklich gibt =D *Unschuldigguck* was mann ich glaub imma noch daran ;D ist so! noch ein spruch:Sailor Venus ist eine ***** 	abgemeldet
... 	du plötzlich mit der Sense deines Milchbauern auf der Weide stehst und die Kühe anschreist, dass sie das Böse schlechthin wären und versuchst, sie mit der Macht des Saturn zu vernichten. 	abgemeldet
... 	du ein Bild von dir und deiner Angebeteten und dir mit Katzenohren versiehst und es "Artemis und Luna in Love" taufst 	abgemeldet
... 	du deinen besten Kumpel und Exgreund ständig mit Artemis ansprichst UND ER AUCH NOCH DARAUF HÖRT!!! 	abgemeldet
... 	dein Freund mit einem langen schwarzen Mantel bei dir ankommt und du ihm ernsthaft einen Zylinder, Stock und weiße Maske aufzuschwatzen versuchst. 	abgemeldet
... 	du im "Phantom der Oper" sitzt und beim Auftritt des Phantoms laut "Tuxeeeeeedoooo Maaaask" brüllst... (War zum Glück nicht ich, aber eine Freundin, ist genauso schlimm^^) 	abgemeldet
... 	du auf der Stirn deiner Katze nach dem Halbgmond suchst und dich wunderst warum sie nicht mit dir spricht 	abgemeldet
... 	du dein Pferd zu Karneval weiß anschtreißt, im Flügel anklebst und ihn ein Horn auf die Stirn klebst, und allen weiß machen willst du hättest Pegasus gefangen 	abgemeldet
... 	du denkst du hast immer einen rock an 	 -Mariah-
... 	du dir eine gigantischen Crew zusammesuchst und nun den ersten deutschen Sailor Moon Real Film drehen wirst! *zwinker* 	 June
... 	man sich alle Sailor Moon Fanarts in den Ferien anschaut. 	 JoMarch
... 	du davon überzeugt bist, dass du vor langer Zeit einmal im Königreich des Mondes gelebt hast und jetzt einfach wieder geboren wurdest 	abgemeldet
... 	Du nur noch zum Mondscheintarif telefonierst, Deine Lebensversicherung bei der Hanse-Merkur abschließt, Deine Ernährung völlig auf Mars-Riegel umgestellt hast und ohne Deinen Venus Divine ohnehin nicht mehr leben kannst, beim Jupiter! ;-) Ach ja: Dein Lieblingsgeschäft ist natürlich Saturn ... Ein bisschen zuviel, findest Du nicht? 	 Fenris
... 	du 6jährige kleine Mädchen deiner Freundin vorziehst und du in Erwägung ziehst deswegen Schluß zu machen 	abgemeldet
... 	du deine transsexuelle Freundin nur noch mit "Seiya" ansprichst 	abgemeldet
... 	du nachdem du eine versaute Arbeit zurückbekommen hast aufspringst, wild herumfuchtelnd auf deine Prof zeigst und Sailor star strafe Sie schreist 	 mondsternchen_c
... 	du dir jeden tagei sailor moon zeichen auf die stirn malst 	abgemeldet
... 	du meinst es gäbe sailor sun, sailor galaxy, sailor earth..(muss ich weiter machen ;) ? 	 -Kumiko-
... 	du ein fünfjähriges Mädchen zwingst zu glauben, du seist ihre zukünftige mutter 	abgemeldet
... 	du ganz sicher bist, das du eigentlich vom Saturn abstammst und auf die Erde geschickt wurdest um sie zu retten 	abgemeldet
... 	du in deiner gesamten wohnung die einzelnen Sailor kriegerinnen auf die tapete aufmalen lassen willst 	abgemeldet
... 	du extra einen Motorrad Führerschein machst, dir eine Rot weiße Yamaha kaufst dazu das passende Outfit und nen roten Helm und dann an der Strandküste entlang fährst (Ich mach des nicht nein >> Ich krieg die Maschine geschenkt XD) 	 DirrtyHaruka
... 	duanfägst Violine zu spielen und eine zitrone darauf springen läßt 	abgemeldet
... 	du morgens von aruka geweckt wirst (ist wirklich passiert war noch im halb schlaf *träum*) 	abgemeldet
... 	du beginnst mit deinem Hintergrundbild zu sprechen das Sailor Uranus zeigt (Warum sollte ich das tun? *Jeden Abend beim runterfahren Gute nacht zu ihr sag* >> 	 DirrtyHaruka
... 	du sabberst wenn du Harukas Stimme hörst (Japanische Synchro *.* *sabber wie geil*) 	 DirrtyHaruka
... 	du zusammengenommen insgesamt eine ganze Woche mit deinen Freudnen über Haruka und Michiru diskutierst (Wie wann und wo und überhaupt XD) 	 DirrtyHaruka
... 	du mit der Freundin deines Bruders planst, abzunehmen, die Haare wachsen bzw. schneiden zu lassen nur damit ihr zusammen ausseht wie Haruka und Michiru (Ich? Nein! Wie kommt ihr darauf? *pfeif* >> ) 	 DirrtyHaruka
... 	Du zu jedem Stern, Himmelsbild, Mond, eine neue Senshi entwirfst ^-^y 	 June
... 	du anfängst mit Katzen zu sprechen,die eien Halbmoondförmigen Kreis auf dem Fell haben 	abgemeldet
... 	Du im Biounterricht statt "Aminosäuren" auf einmal "Uminosäuren" verstehst und Dich daraufhin kranklachst!!! 	 theDraco
... 	du an deinem 18 Geburtstag (darf man doch erst ab 18, oder o.o?) direkt zu einem Tattoowierer gehst und du dir auf den rechten Oberarm das Zeichen des Neptuns, auf den linken Oberarm das Zeichen des Uranus´ UND das von dir selbstgemalte Zeichen von Uranus & Neptun (INEINANDER UMSCHLUNGEN) aufs Steißbein tattoowieren lässt [nur noch 2 1/2 Jährchen, dann werd ich 18 - - - - -*freuz*- - - - ]. 	abgemeldet
... 	du wenn du jede schwarze/weiße Katze auf der Straße einfängst, um sie zu bitten dir einen Zauberfüller zu geben. 	 Fin-Rasiel
... 	du jemanden einen Pokal gibst, der aussieht wie der Gral, und denkst das Mistress 9 erscheint! 	abgemeldet
... 	(Real Serie) Wenn du nachdem du dir alle 50 Folgen in einer Woche reingezogen hast und das zum anlass nimmst das Netz nach sämtlichen Verfügbaren Infos und Musikstücken zu Durchsuchen (inklusive den Tagebüchern der Schauspielerinnen) 	 SilentHypoCrit
... 	du mit Chloe-freak voll und ganz mitfülen kannst. 	abgemeldet
... 	wenn du iunter Sidos Maske !Taksido Mahask" vermutest 	 Handtuch-Queen
... 	du jede Nummer dieser Liste mit einem Häckchen versehen wirst, wenn du sie erfüllt hast. 	 Chloe
... 	du zum Autorennen gehst, um Haruka zu sehen. 	 Chloe
... 	du auch willst, dass deine Schüler ihre Haare wie Michiru färben. und willst, dass sie einen Sailor Merkurfan beim schwimmen herausfordern und gehst davon aus, dass dein Schüler gewinnt. 	 Chloe
... 	du die Vorsitzende im Schwimmteam bist und bringst deinen Schülern in der ersten Schwimmstunde bei, wie man ein Stückchen Wasser in einen Wasserball formt und "Deep Submarge!" schreit. 	 Chloe
... 	du vergessen hast, welche Farbe deine Tapete hat, weil überall Michiruposter hängen. (hab's echt mal vergessen.^^) 	 Chloe
... 	deine Freunde versuchen dein Modem/ISDN und deinen Fernseher zu verstecken, um deine Sailro Neptun/Michiru Kaioh Sucht zu vermindern. (Aber es gelingt ihnen natürlich nicht, weil du es schon in deinem Handspiegel gesehen hast. Darum versuchen sie zuerst deinen Handspiegel zu klauen.) 	 Chloe
... 	du Naoko fragst, ob du ihre Serie zuende malen kannst, so dass H&M am Ende heiraten. 	 Chloe
